;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NOVEDAD;;;;;;NO DISPONIBLE;;;;;;;;;;;;
;PROMOCION;;;;;;LIMITADO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
28 - ROL;;;;;;30  -  Yu-Gi-Oh!;;;;;;;;;;;;;
1058;D&D 5TH CORE GIFT SET; $7.276,89 ; $10.915 ;;;1001;SOBRE HIDDEN ARSENAL 6 (Caja X 24) Dto 50% COMPRANDO 24 SOBRES; $154,14 ; $280 ;PROMO;50% DESCUENTO x 24 Uni;;;;;;;;
1053;D&D 5TH CORE GIFT SET LIMITED HOBBY; $8.384,90 ; $12.577 ;;;1037;SOBRE SPIRIT WARRIORS (Caja X 24) ; $154,14 ; $280 ;PROMO;10% Descuento;;;;;;;;
1039;D&D 5TH DUNGEON MASTER GUIDE; $2.467,50 ; $3.701 ;;;1052;SOBRE DARK SAVIORS (Caja X 24) ; $154,14 ; $280 ;PROMO;;;;;;;;;
1033;D&D 5TH ED CHARACTER SHEETS 2017 X 24; $525,00 ; $788 ;;;1006;SOBRE INVASION:VENGEANCE (Caja X 24) ; $154,14 ; $280 ;;;;;;;;;;
1038;D&D 5TH ED CURSE OF STRAHD; $2.467,50 ; $3.701 ;;;1049;SOBRE STAR PACK VRAINS (Caja X 50); $62,03 ; $113 ;;;;;;;;;;
1035;D&D 5TH ED MONSTER MANUAL; $2.467,50 ; $3.701 ;;;1055;MAZO STARTER DECK CODEBREAKER 10% Descuento; $511,67 ; $929 ;PROMO;10% Descuento;;;;;;;;
1057;D&D 5TH EDITION GUILD MASTER´S GUIDE OF RAVNICA; $2.467,50 ; $3.701 ;;;1058;MAZO STRUCTURE POWERCODE LINK 10% Descuento; $511,67 ; $929 ;PROMO;;;;;;;;;
